"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau groupe, poste 25.4)";"Codes"
"idBank";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";"";"010767972";""
"Mises à jour";"04/04/2025 08:45";"";"05/03/2025 08:45";"";"05/02/2025 08:45";"";"10/01/2025 08:45";"";"05/12/2024 08:45";"";"05/11/2024 08:45";"";"04/10/2024 08:45";"";"06/09/2024 08:45";"";"02/08/2024 08:45";"";"05/07/2024 08:45";"";"05/06/2024 08:45";"";"03/05/2024 08:45";"";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025-02";"125.23";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025-01";"124.24";"A";"117.34";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-12";"118.23";"A";"116.72";"A";"119.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-11";"123.74";"A";"123.0";"A";"125.88";"A";"126.14";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-10";"119.66";"A";"118.88";"A";"122.27";"A";"122.46";"A";"121.83";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-09";"116.73";"A";"116.18";"A";"119.24";"A";"119.4";"A";"118.94";"A";"118.53";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-08";"116.68";"A";"116.49";"A";"120.61";"A";"120.64";"A";"119.85";"A";"119.06";"A";"118.43";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-07";"109.84";"A";"109.6";"A";"113.47";"A";"113.55";"A";"113.08";"A";"112.35";"A";"111.79";"A";"110.41";"A";"";"";"";"";"";"";"";"";"";"";"";""
